,TCHWSChi,TZone_cor,TZone_eas,TZone_nor,TZone_set,TZone_sou,TZone_wes,T_oa,T_sa,dpCHWS,dpSA,ice_mode,power,soc
17884800.0,5.0,24.0,24.0,24.0,30.0,24.0,24.0,20.0,20.0,0.0,0.0,1.0,5.095125936240791e-05,0.5
17885145.6,-2.7300315143933176,23.923951760786224,23.596537043860792,23.568639960024996,30.0,23.56863996002494,23.59653704386085,20.0,19.999999999898534,999.9995490716537,0.0,2.0,10328.538502466403,0.5000294856533071
17885491.2,-1.9807890615988413,23.87815932479424,23.653183335103336,23.62159062660112,30.0,23.621590626601176,23.653183335103392,20.0,19.999999999857266,999.9995490733418,1.4551915228366852e-11,2.0,6603.811522634685,0.5023114866563517
17885836.8,-3.076716728755116,23.891492940922376,23.723020759283145,23.699584811827663,30.0,23.69958481182789,23.72302075928303,20.0,19.999999999268255,999.9995490733418,0.0,2.0,10120.195435815618,0.5056415805450345
17886182.4,-2.158994798304775,23.917694060627014,23.775971435013957,23.758069151774407,30.0,23.758069151774464,23.775971435014014,20.0,19.999999999290992,999.9995490733418,0.0,2.0,6916.739179722557,0.508139023350276
17886528.0,-0.6129805716806231,23.942310546500664,23.813212257406235,23.798228817180302,30.0,23.798228817180302,23.813212257406235,20.0,19.999999999241822,999.9995490733418,0.0,2.0,4884.856686387786,0.5089765648710458
17886873.6,-3.0767100158576,23.962449308288285,23.839045471367456,23.82539004277345,30.0,23.82539004277345,23.839045471367513,20.0,19.999999999193392,999.9995490733418,0.0,2.0,10120.19948342874,0.512183895062315
17887219.2,-3.076717442819188,23.978222353243666,23.85710258058708,23.84385588021803,30.0,23.843855880217973,23.857102580587195,20.0,19.99999999922875,999.9995490733418,1.4551915228366852e-11,2.0,10120.195005263044,0.5156122194656246
17887564.8,-1.8767125561082594,23.99045289824187,23.86992125113329,23.856579766708705,30.0,23.85657976670865,23.869921251133405,20.0,19.99999999904213,999.9995490733418,0.0,2.0,6430.513268653383,0.5178233311805494
17887910.4,-3.0767185488168707,24.000070143673383,23.879202337216896,23.865534459637445,30.0,23.865534459637445,23.87920233721701,20.0,19.999999998941178,999.9995490733418,0.0,2.0,10120.194338389892,0.5211440903926431
17888256.0,-2.049117834724143,24.007915416278877,23.88605758432533,23.872022802324807,30.0,23.872022802324807,23.886057584325442,20.0,19.99999999902718,999.9995490733418,0.0,2.0,6721.384110288698,0.5235300880802131
17888601.6,-2.4740238095575364,24.014026492283733,23.891177076398037,23.87671071339463,30.0,23.87671071339463,23.89117707639815,19.98591636034763,19.999999999194074,999.9995490733418,1.4551915228366852e-11,2.0,7519.952303609269,0.5262443797388688
17888947.2,-3.0767158229355687,24.018474809370502,23.89470347897833,23.879807886502647,30.0,23.879807886502647,23.894703478978272,19.90279845843378,19.999999999189242,999.9995490733418,0.0,2.0,10120.1959819892,0.5296186983985675
17889292.8,-3.0402005800268626,24.02149411518417,23.896556370276016,23.881252590896167,30.0,23.88125259089611,23.896556370276016,19.75870108939091,19.999999999194074,999.9995490733418,1.4551915228366852e-11,2.0,8763.577913662615,0.5330099841541014
17889638.4,-3.0767182890454023,24.023251981475767,23.89671610193551,23.881017204019372,30.0,23.88101720401943,23.89671610193551,19.569318700520398,19.999999999217152,999.9995490733418,1.4551915228366852e-11,2.0,10120.194495021882,0.5364350379900722
