,TCHWSChi,TZone_cor,TZone_eas,TZone_nor,TZone_set,TZone_sou,TZone_wes,T_oa,T_sa,dpCHWS,dpSA,ice_mode,power,soc
17884800.0,5.0,24.0,24.0,24.0,30.0,24.0,24.0,20.0,20.0,0.0,0.0,1.0,5.095125936240791e-05,0.5
17884860.0,3.6579806398680574,23.98679718069211,23.9299543478928,23.92511110417133,30.0,23.925111104171318,23.92995434789281,20.0,19.999999999982386,173.61103282419134,0.0,1.1736111111103626,1793.1490876649068,0.5000051190370325
17884920.0,2.3159612797361153,23.97359436138422,23.859908695785602,23.850222208342657,30.0,23.85022220834264,23.85990869578562,20.0,19.999999999964768,347.2220656483827,0.0,1.347222222220725,3586.2981243785543,0.5000102380740649
17884980.0,0.9739419196041732,23.96039154207633,23.7898630436784,23.775333312513986,30.0,23.775333312513958,23.78986304367843,20.0,19.999999999947153,520.8330984725741,0.0,1.5208333333310877,5379.447161092202,0.5000153571110973
17885040.0,-0.36807744052776936,23.947188722768438,23.7198173915712,23.700444416685315,30.0,23.700444416685276,23.71981739157124,20.0,19.99999999992954,694.4441312967654,0.0,1.6944444444414501,7172.596197805849,0.5000204761481298
17885100.0,-1.710096800659712,23.93398590346055,23.649771739464004,23.625555520856647,30.0,23.625555520856597,23.649771739464054,20.0,19.99999999991192,868.0551641209568,0.0,1.8680555555518128,8965.745234519498,0.5000255951851623
17885160.0,-2.6988130788635796,23.922043742620097,23.598897305995642,23.57084623779876,30.0,23.570846237798712,23.5988973059957,20.0,19.999999999896815,999.9995490717241,6.063298011165947e-13,2.0,10173.341544990144,0.5001245690284237
17885220.0,-2.5687362641428773,23.91409366692708,23.608731731558542,23.58003906185708,30.0,23.580039061857047,23.6087317315586,20.0,19.99999999988965,999.9995490720171,3.1327039726971692e-12,2.0,9526.687555438813,0.5005207497581172
17885280.0,-2.4386594494221745,23.90614359123406,23.618566157121442,23.589231885915392,30.0,23.589231885915382,23.6185661571215,20.0,19.999999999882487,999.9995490723102,5.659078144277744e-12,2.0,8880.033565887485,0.5009169304878107
17885340.0,-2.308582634701472,23.898193515541042,23.628400582684343,23.59842470997371,30.0,23.598424709973717,23.6284005826844,20.0,19.99999999987532,999.9995490726033,8.185452315858319e-12,2.0,8233.379576336156,0.5013131112175043
17885400.0,-2.17850581998077,23.89024343984802,23.63823500824724,23.607617534032023,30.0,23.60761753403205,23.638235008247296,20.0,19.999999999868155,999.9995490728963,1.0711826487438893e-11,2.0,7586.725586784825,0.5017092919471978
17885460.0,-2.0484290052600675,23.882293364155004,23.64806943381014,23.616810358090337,30.0,23.616810358090383,23.648069433810196,20.0,19.999999999860993,999.9995490731894,1.3238200659019467e-11,2.0,6940.0715972334965,0.5021054726768914
17885520.0,-2.0721163671863376,23.879270459471478,23.65900312045109,23.628090142036033,30.0,23.628090142036104,23.659003120451132,20.0,19.999999999808182,999.9995490733418,1.333925562612059e-11,2.0,6896.843515371335,0.5025889944803817
17885580.0,-2.262381587179977,23.881585323382627,23.671127673260163,23.641630799193507,30.0,23.641630799193607,23.671127673260173,20.0,19.999999999705924,999.9995490733418,1.0812881454512784e-11,2.0,7507.326833635862,0.503167135780504
17885640.0,-2.4526468071736165,23.883900187293776,23.683252226069236,23.65517145635098,30.0,23.655171456351113,23.683252226069218,20.0,19.999999999603663,999.9995490733418,8.286507282904976e-12,2.0,8117.810151900389,0.5037452770806262
17885700.0,-2.642912027167256,23.886215051204925,23.69537677887831,23.668712113508455,30.0,23.668712113508615,23.695376778878263,20.0,19.999999999501405,999.9995490733418,5.76013311129717e-12,2.0,8728.293470164916,0.5043234183807486
17885760.0,-2.833177247160895,23.888529915116077,23.707501331687382,23.68225277066593,30.0,23.682252770666118,23.707501331687304,20.0,19.999999999399147,999.9995490733418,3.2337589396893632e-12,2.0,9338.776788429443,0.5049015596808708
17885820.0,-3.0234424671545344,23.890844779027226,23.719625884496455,23.695793427823403,30.0,23.69579342782362,23.71962588449635,20.0,19.999999999296886,999.9995490733418,7.073847680815568e-13,2.0,9949.26010669397,0.505479700980993
17885880.0,-2.9620014874512965,23.894768080885385,23.729639593749354,23.70689535432085,30.0,23.706895354321055,23.729639593749262,20.0,19.999999999271097,999.9995490733418,0.0,2.0,9719.763403812618,0.505953760895683
17885940.0,-2.802674763415466,23.89931688638964,23.738832419397024,23.71704888556156,30.0,23.717048885561734,23.73883241939696,20.0,19.999999999275044,999.9995490733418,0.0,2.0,9163.60780379886,0.5063873447160355
17886000.0,-2.643348039379635,23.903865691893902,23.748025245044694,23.727202416802267,30.0,23.727202416802417,23.748025245044662,20.0,19.99999999927899,999.9995490733418,0.0,2.0,8607.452203785102,0.506820928536388
17886060.0,-2.4840213153438047,23.90841449739816,23.757218070692367,23.73735594804298,30.0,23.737355948043096,23.757218070692364,20.0,19.999999999282938,999.9995490733418,0.0,2.0,8051.296603771343,0.5072545123567407
17886120.0,-2.324694591307974,23.912963302902416,23.766410896340037,23.74750947928369,30.0,23.747509479283778,23.766410896340062,20.0,19.999999999286885,999.9995490733418,0.0,2.0,7495.141003757584,0.5076880961770932
17886180.0,-2.1653678672721437,23.917512108406672,23.775603721987707,23.7576630105244,30.0,23.757663010524457,23.775603721987764,20.0,19.999999999290836,999.9995490733418,0.0,2.0,6938.985403743825,0.5081216799974458
17886240.0,-1.9013257605424154,23.92179680827249,23.782178238745804,23.76476242934184,30.0,23.764762429341886,23.78217823874585,20.0,19.999999999282796,999.9995490733418,0.0,2.0,6578.092097511047,0.5082786136037332
17886300.0,-1.6329205128628752,23.926070503736693,23.78864365930006,23.771734593474854,30.0,23.77173459347489,23.788643659300096,20.0,19.999999999274262,999.9995490733418,0.0,2.0,6225.3347201937,0.5084240201177567
17886360.0,-1.3645152651833352,23.930344199200896,23.795109079854317,23.778706757607864,30.0,23.778706757607893,23.795109079854345,20.0,19.999999999265725,999.9995490733418,0.0,2.0,5872.577342876355,0.5085694266317801
17886420.0,-1.0961100175037952,23.9346178946651,23.801574500408574,23.785678921740878,30.0,23.785678921740896,23.80157450040859,20.0,19.999999999257188,999.9995490733418,0.0,2.0,5519.819965559009,0.5087148331458036
17886480.0,-0.827704769824255,23.938891590129302,23.80803992096283,23.792651085873892,30.0,23.7926510858739,23.808039920962837,20.0,19.99999999924865,999.9995490733418,0.0,2.0,5167.0625882416625,0.5088602396598271
17886540.0,-0.6985267329363993,23.94300980906273,23.814109244002108,23.799171915291172,30.0,23.799171915291172,23.814109244002108,20.0,19.999999999240142,999.9995490733418,0.0,2.0,5066.6394223953685,0.5090879305026866
17886600.0,-1.1262575392152803,23.946506121873067,23.818594176981467,23.803887405845515,30.0,23.803887405845515,23.818594176981478,20.0,19.999999999231733,999.9995490733418,0.0,2.0,5975.553102433282,0.5096447586608907
17886660.0,-1.5539883454941612,23.9500024346834,23.823079109960826,23.80860289639986,30.0,23.80860289639986,23.823079109960847,20.0,19.999999999223323,999.9995490733418,0.0,2.0,6884.466782471195,0.5102015868190948
17886720.0,-1.9817191517730421,23.95349874749374,23.827564042940185,23.813318386954208,30.0,23.813318386954208,23.827564042940217,20.0,19.999999999214918,999.9995490733418,0.0,2.0,7793.380462509109,0.5107584149772988
17886780.0,-2.4094499580519226,23.956995060304074,23.832048975919545,23.818033877508554,30.0,23.818033877508554,23.832048975919584,20.0,19.99999999920651,999.9995490733418,0.0,2.0,8702.294142547022,0.5113152431355028
17886840.0,-2.837180764330804,23.96049137311441,23.836533908898904,23.822749368062897,30.0,23.822749368062897,23.836533908898954,20.0,19.9999999991981,999.9995490733418,0.0,2.0,9611.207822584936,0.5118720712937069
17886900.0,-3.0767105831949433,23.96365419366675,23.840424833877204,23.82680062757816,30.0,23.826800627578155,23.840424833877265,20.0,19.999999999196092,999.9995490733418,1.1116046354327095e-12,2.0,10120.199141346638,0.5124457809542186
17886960.0,-3.076711872597997,23.966392569527045,23.843559748672266,23.830006502134495,30.0,23.83000650213448,23.843559748672337,20.0,19.99999999920223,999.9995490733418,3.637978807013284e-12,2.0,10120.198363887315,0.5130409761631239
17887020.0,-3.07671316200105,23.96913094538734,23.846694663467325,23.83321237669083,30.0,23.833212376690806,23.846694663467407,20.0,19.99999999920837,999.9995490733418,6.1643529785938584e-12,2.0,10120.197586427994,0.5136361713720293
17887080.0,-3.076714451404104,23.97186932124764,23.849829578262387,23.836418251247167,30.0,23.836418251247135,23.849829578262476,20.0,19.99999999921451,999.9995490733418,8.690727150174433e-12,2.0,10120.19680896867,0.5142313665809346
17887140.0,-3.0767157408071575,23.97460769710794,23.852964493057446,23.839624125803507,30.0,23.83962412580346,23.85296449305755,20.0,19.999999999220645,999.9995490733418,1.1217101321755007e-11,2.0,10120.19603150935,0.51482656178984
17887200.0,-3.0767170302102107,23.977346072968235,23.856099407852508,23.842830000359843,30.0,23.84283000035979,23.856099407852618,20.0,19.999999999226784,999.9995490733418,1.3743475493335582e-11,2.0,10120.195254050026,0.5154217569987454
17887260.0,-2.93505019925858,23.97966623702808,23.8586158958598,23.845358005706412,30.0,23.845358005706355,23.858615895859913,20.0,19.999999999206718,999.9995490733418,1.2833980791799029e-11,2.0,9684.607578053403,0.5158732534875081
17887320.0,-2.7267160175365848,23.981789595534725,23.860841359496305,23.847567013777724,30.0,23.847567013777667,23.86084135949642,20.0,19.999999999174317,999.9995490733418,1.0307606620191223e-11,2.0,9044.037832110083,0.5162571270491294
