,time,formatted_time,tesBed.TOut.y,tesBed.weaBus.TWetBul,tesBed.weaBus.relHum,tesBed.weaBus.HGloHor,tesBed.uMod,tesBed.uModActual.y,tesBed.occSch.occupied,tesBed.modCon.y,tesBed.iceTan.SOC,tesBed.chi.TSet,tesBed.iceTan.TOutSet,tesBed.TCHWSup.T,tesBed.TCHWRetCoi.T,tesBed.priPum.m_flow,tesBed.secPum.m_flow,tesBed.senRelPre.p_rel,tesBed.conAHU.TSupSet,tesBed.conAHU.TSup,tesBed.senSupFlo.V_flow,tesBed.conVAVCor.damVal.VDisSet_flow,tesBed.VSupCor_flow.V_flow,tesBed.conVAVSou.damVal.VDisSet_flow,tesBed.VSupSou_flow.V_flow,tesBed.conVAVEas.damVal.VDisSet_flow,tesBed.VSupEas_flow.V_flow,tesBed.conVAVNor.damVal.VDisSet_flow,tesBed.VSupNor_flow.V_flow,tesBed.conVAVWes.damVal.VDisSet_flow,tesBed.VSupWes_flow.V_flow,tesBed.conAHU.TZonCooSet,tesBed.conAHU.TZonHeaSet,tesBed.conVAVCor.TZon,tesBed.conVAVSou.TZon,tesBed.conVAVEas.TZon,tesBed.conVAVNor.TZon,tesBed.conVAVWes.TZon,tesBed.ave.y,tesBed.chi.P,tesBed.priPum.P,tesBed.secPum.P,tesBed.fanSup.P,Ptot,Ptot_nex1,tesBed.occSch.occupied_nex1,tesBed.conVAVCor.TZon_nex1,tesBed.conVAVSou.TZon_nex1,tesBed.conVAVEas.TZon_nex1,tesBed.conVAVNor.TZon_nex1,tesBed.conVAVWes.TZon_nex1,tesBed.conVAVCor.damVal.VDisSet_flow_nex1,tesBed.conAHU.TSupSet_nex1,tesBed.conVAVCor.TZon_his1,tesBed.conVAVCor.TZon_his2,tesBed.conVAVCor.TZon_his3,tesBed.conVAVCor.TZon_his4,tesBed.conVAVSou.TZon_his1,tesBed.conVAVSou.TZon_his2,tesBed.conVAVSou.TZon_his3,tesBed.conVAVSou.TZon_his4,tesBed.conVAVEas.TZon_his1,tesBed.conVAVEas.TZon_his2,tesBed.conVAVEas.TZon_his3,tesBed.conVAVEas.TZon_his4,tesBed.conVAVNor.TZon_his1,tesBed.conVAVNor.TZon_his2,tesBed.conVAVNor.TZon_his3,tesBed.conVAVNor.TZon_his4,tesBed.conVAVWes.TZon_his1,tesBed.conVAVWes.TZon_his2,tesBed.conVAVWes.TZon_his3,tesBed.conVAVWes.TZon_his4,tesBed.ave.y_his1,tesBed.ave.y_his2,tesBed.ave.y_his3,tesBed.ave.y_his4,tesBed.TOut.y_his1,tesBed.TOut.y_his2,tesBed.TOut.y_his3,tesBed.TOut.y_his4,tesBed.weaBus.TWetBul_his1,tesBed.weaBus.TWetBul_his2,tesBed.weaBus.TWetBul_his3,tesBed.weaBus.TWetBul_his4,tesBed.weaBus.relHum_his1,tesBed.weaBus.relHum_his2,tesBed.weaBus.relHum_his3,tesBed.weaBus.relHum_his4,tesBed.weaBus.HGloHor_his1,tesBed.weaBus.HGloHor_his2,tesBed.weaBus.HGloHor_his3,tesBed.weaBus.HGloHor_his4,tesBed.iceTan.SOC_his1,tesBed.iceTan.SOC_his2,tesBed.iceTan.SOC_his3,tesBed.iceTan.SOC_his4,Ptot_his1,Ptot_his2,Ptot_his3,Ptot_his4,delta_SOC,delta_Power,delta_Tz_core,delta_Tz_south,delta_Tz_east,delta_Tz_north,delta_Tz_west
4,18331200.0,08-01 04:00,17.792500000000018,16.39324000000005,0.8702373,5.012894,1.0,1.0,0.0,3.0,0.53766197,283.15,283.15,283.15,288.91727,3.9682539,1.0919156,53000.17,288.99896,15.378930000000025,1.2050805,0.6745,0.6781119,0.1421925,0.14295393,0.13502944,0.13575251,0.1421925,0.14295393,0.10502289,0.10558529,297.15,293.15,22.88897000000003,22.777860000000032,22.61474000000004,22.75863000000004,22.721900000000005,22.752400000000023,0.0,2608.746,114.21809,123.55367,2846.52,0.0,0.0,23.718740000000025,23.550160000000005,23.613800000000026,23.51962000000003,23.551900000000046,0.0,294.15,23.792200000000037,23.777300000000025,22.807060000000035,22.813000000000045,23.634100000000046,23.639030000000048,22.78893000000005,22.82928000000004,23.63503000000003,23.629020000000025,22.56573000000003,22.586270000000013,23.54644000000002,23.536220000000014,22.759299999999996,22.804900000000032,23.631280000000004,23.637230000000045,22.693660000000023,22.728750000000048,23.647820000000024,23.643760000000043,22.72296,22.752440000000036,17.82543000000004,18.726860000000045,19.53000000000003,20.430000000000007,16.77000000000004,18.39974000000001,18.730800000000045,18.890950000000032,0.9016059,0.9698179,0.92837954,0.8669555,0.0,0.0,0.0,0.0,0.5518328,0.51584536,0.48230803,0.5,8320.47,8320.98,2761.76,8278.17,-0.014170829999999968,-5473.949999999999,-0.9032300000000077,-0.8562400000000139,-1.0202899999999886,-0.787809999999979,-0.9093799999999987
5,18334800.0,08-01 05:00,18.264340000000004,17.17437000000001,0.89962095,99.668884,0.0,0.0,0.0,1.0,0.537048,283.15,283.15,283.15,288.91782,0.0,-1.1182982e-15,0.0,294.15,15.400300000000016,0.0008009684,0.0,0.00045063303,0.0,9.499872e-05,0.0,9.0213085e-05,0.0,9.499872e-05,0.0,7.016573e-05,303.15,285.15,23.718740000000025,23.550160000000005,23.613800000000026,23.51962000000003,23.551900000000046,23.590840000000014,0.0,0.0,-0.0,-4.692424e-08,0.0,8320.98,1.0,23.83358000000004,23.676480000000026,24.06024000000002,23.663170000000036,23.74633,0.0,294.15,22.88897000000003,23.792200000000037,23.777300000000025,22.807060000000035,22.777860000000032,23.634100000000046,23.639030000000048,22.78893000000005,22.61474000000004,23.63503000000003,23.629020000000025,22.56573000000003,22.75863000000004,23.54644000000002,23.536220000000014,22.759299999999996,22.721900000000005,23.631280000000004,23.637230000000045,22.693660000000023,22.752400000000023,23.647820000000024,23.643760000000043,22.72296,17.792500000000018,17.82543000000004,18.726860000000045,19.53000000000003,16.39324000000005,16.77000000000004,18.39974000000001,18.730800000000045,0.8702373,0.9016059,0.9698179,0.92837954,5.012894,0.0,0.0,0.0,0.53766197,0.5518328,0.51584536,0.48230803,2846.52,8320.47,8320.98,2761.76,-0.0006139700000000747,-2846.52,0.8297699999999963,0.7722999999999729,0.9990599999999858,0.7609899999999925,0.8300000000000409
6,18338400.0,08-01 06:00,19.931700000000035,18.481960000000015,0.87291056,241.89279,-1.0,-1.0,1.0,5.0,0.57110256,268.15,273.15,271.2504,271.32968,3.9682539,0.14142399,928.95276,294.15,14.652120000000025,0.0008038358,0.0,0.0004522366,0.0,9.533677e-05,0.0,9.053411e-05,0.0,9.533677e-05,0.0,7.0415415e-05,303.15,285.15,23.83358000000004,23.676480000000026,24.06024000000002,23.663170000000036,23.74633,23.795950000000005,6063.167,2257.8105,-0.00029310273,-4.7258553e-08,8320.98,8321.08,1.0,23.96810000000005,23.950199999999995,24.329600000000028,23.91094000000004,23.95974000000001,0.0,294.15,23.718740000000025,22.88897000000003,23.792200000000037,23.777300000000025,23.550160000000005,22.777860000000032,23.634100000000046,23.639030000000048,23.613800000000026,22.61474000000004,23.63503000000003,23.629020000000025,23.51962000000003,22.75863000000004,23.54644000000002,23.536220000000014,23.551900000000046,22.721900000000005,23.631280000000004,23.637230000000045,23.590840000000014,22.752400000000023,23.647820000000024,23.643760000000043,18.264340000000004,17.792500000000018,17.82543000000004,18.726860000000045,17.17437000000001,16.39324000000005,16.77000000000004,18.39974000000001,0.89962095,0.8702373,0.9016059,0.9698179,99.668884,5.012894,0.0,0.0,0.537048,0.53766197,0.5518328,0.51584536,0.0,2846.52,8320.47,8320.98,0.03405456000000007,8320.98,0.11484000000001515,0.12632000000002108,0.4464399999999955,0.14355000000000473,0.19442999999995436
7,18342000.0,08-01 07:00,22.14208000000002,18.82546000000002,0.7336497,325.36682,-1.0,-1.0,1.0,5.0,0.60709006,268.15,273.15,271.2504,271.33145,3.9682539,0.14142399,928.95276,294.15,12.799000000000035,0.0008033864,0.0,0.00045197812,0.0,9.528228e-05,0.0,9.048236e-05,0.0,9.528228e-05,0.0,7.0375165e-05,303.15,285.15,23.96810000000005,23.950199999999995,24.329600000000028,23.91094000000004,23.95974000000001,24.023740000000032,6063.2686,2257.8105,-0.00029310273,-4.7204377e-08,8321.08,8321.17,1.0,24.899500000000046,24.984460000000013,25.452800000000025,24.92333000000002,24.899040000000014,0.0,294.15,23.83358000000004,23.718740000000025,22.88897000000003,23.792200000000037,23.676480000000026,23.550160000000005,22.777860000000032,23.634100000000046,24.06024000000002,23.613800000000026,22.61474000000004,23.63503000000003,23.663170000000036,23.51962000000003,22.75863000000004,23.54644000000002,23.74633,23.551900000000046,22.721900000000005,23.631280000000004,23.795950000000005,23.590840000000014,22.752400000000023,23.647820000000024,19.931700000000035,18.264340000000004,17.792500000000018,17.82543000000004,18.481960000000015,17.17437000000001,16.39324000000005,16.77000000000004,0.87291056,0.89962095,0.8702373,0.9016059,241.89279,99.668884,5.012894,0.0,0.57110256,0.537048,0.53766197,0.5518328,8320.98,0.0,2846.52,8320.47,0.03598749999999995,0.1000000000003638,0.13452000000000908,0.2737199999999689,0.26936000000000604,0.2477700000000027,0.2134100000000103
8,18345600.0,08-01 08:00,23.843350000000044,19.082760000000007,0.6418708,526.7396,-1.0,-1.0,1.0,5.0,0.6430775,268.15,273.15,271.2504,271.3331,3.9682539,0.14142399,928.95276,294.15,10.599050000000034,0.00080810324,0.0,0.00045462846,0.0,9.584101e-05,0.0,9.101294e-05,0.0,9.584101e-05,0.0,7.078784e-05,303.15,285.15,24.899500000000046,24.984460000000013,25.452800000000025,24.92333000000002,24.899040000000014,25.03182000000004,6063.3643,2257.8105,-0.00029310273,-4.7759492e-08,8321.17,8321.41,1.0,25.33570000000003,25.66375000000005,26.12692000000004,25.40408000000002,25.37655000000001,0.0,294.15,23.96810000000005,23.83358000000004,23.718740000000025,22.88897000000003,23.950199999999995,23.676480000000026,23.550160000000005,22.777860000000032,24.329600000000028,24.06024000000002,23.613800000000026,22.61474000000004,23.91094000000004,23.663170000000036,23.51962000000003,22.75863000000004,23.95974000000001,23.74633,23.551900000000046,22.721900000000005,24.023740000000032,23.795950000000005,23.590840000000014,22.752400000000023,22.14208000000002,19.931700000000035,18.264340000000004,17.792500000000018,18.82546000000002,18.481960000000015,17.17437000000001,16.39324000000005,0.7336497,0.87291056,0.89962095,0.8702373,325.36682,241.89279,99.668884,5.012894,0.60709006,0.57110256,0.537048,0.53766197,8321.08,8320.98,0.0,2846.52,0.03598743999999998,0.09000000000014552,0.9313999999999965,1.0342600000000175,1.123199999999997,1.0123899999999821,0.9393000000000029
9,18349200.0,08-01 09:00,25.543330000000026,19.95022,0.600695,809.7773,-1.0,-1.0,1.0,5.0,0.6790649,268.15,273.15,271.2504,271.33722,3.9682539,0.14142399,928.95276,294.15,8.430440000000033,0.00080100266,0.0,0.0004506319,0.0,9.499848e-05,0.0,9.021285e-05,0.0,9.499848e-05,0.0,7.016555e-05,303.15,285.15,25.33570000000003,25.66375000000005,26.12692000000004,25.40408000000002,25.37655000000001,25.581380000000024,6063.6035,2257.8105,-0.00029310273,-4.6923397e-08,8321.41,2707.57,1.0,23.975850000000037,24.329250000000002,24.374840000000006,24.10226,24.13516000000004,0.6745,285.15,24.899500000000046,23.96810000000005,23.83358000000004,23.718740000000025,24.984460000000013,23.950199999999995,23.676480000000026,23.550160000000005,25.452800000000025,24.329600000000028,24.06024000000002,23.613800000000026,24.92333000000002,23.91094000000004,23.663170000000036,23.51962000000003,24.899040000000014,23.95974000000001,23.74633,23.551900000000046,25.03182000000004,24.023740000000032,23.795950000000005,23.590840000000014,23.843350000000044,22.14208000000002,19.931700000000035,18.264340000000004,19.082760000000007,18.82546000000002,18.481960000000015,17.17437000000001,0.6418708,0.7336497,0.87291056,0.89962095,526.7396,325.36682,241.89279,99.668884,0.6430775,0.60709006,0.57110256,0.537048,8321.17,8321.08,8320.98,0.0,0.0359874,0.23999999999978172,0.43619999999998527,0.6792900000000373,0.6741200000000163,0.48075000000000045,0.4775099999999952
10,18352800.0,08-01 10:00,26.67416000000003,20.607420000000047,0.58066666,898.383,1.0,1.0,1.0,3.0,0.65830714,282.45,282.45,282.15,284.75238,3.9682539,3.8754857,106315.914,285.15,11.97670000000005,1.4742512,0.6745,0.6773793,0.2499681,0.24928983,0.26265427,0.25578076,0.18604869,0.18661234,0.10502289,0.105471216,297.15,293.15,23.975850000000037,24.329250000000002,24.374840000000006,24.10226,24.13516000000004,24.18347,0.0,1706.8391,821.32935,179.406,2707.57,10649.87,1.0,23.9529,24.426500000000033,24.20263,24.087500000000034,24.04955000000001,0.6745,285.15,25.33570000000003,24.899500000000046,23.96810000000005,23.83358000000004,25.66375000000005,24.984460000000013,23.950199999999995,23.676480000000026,26.12692000000004,25.452800000000025,24.329600000000028,24.06024000000002,25.40408000000002,24.92333000000002,23.91094000000004,23.663170000000036,25.37655000000001,24.899040000000014,23.95974000000001,23.74633,25.581380000000024,25.03182000000004,24.023740000000032,23.795950000000005,25.543330000000026,23.843350000000044,22.14208000000002,19.931700000000035,19.95022,19.082760000000007,18.82546000000002,18.481960000000015,0.600695,0.6418708,0.7336497,0.87291056,809.7773,526.7396,325.36682,241.89279,0.6790649,0.6430775,0.60709006,0.57110256,8321.41,8321.17,8321.08,8320.98,-0.02075775999999996,-5613.84,-1.3598499999999945,-1.3345000000000482,-1.752080000000035,-1.3018200000000206,-1.2413899999999671
11,18356400.0,08-01 11:00,27.191400000000044,20.720150000000046,0.5606667,919.21936,2.0,2.0,1.0,4.0,0.65738165,281.85,281.85,282.15576,284.73947,3.9682539,3.9634604,105744.06,285.15,12.063840000000027,1.5837156,0.6745,0.67805046,0.3246144,0.29351062,0.27252886,0.27233288,0.2056825,0.20596051,0.13387233,0.13422084,297.15,293.15,23.9529,24.426500000000033,24.20263,24.087500000000034,24.04955000000001,24.143820000000005,8083.106,1506.9181,835.46,224.38213,10649.87,0.0,1.0,25.685500000000047,26.569020000000023,26.33865000000003,25.90676000000002,25.945280000000025,0.0,294.15,23.975850000000037,25.33570000000003,24.899500000000046,23.96810000000005,24.329250000000002,25.66375000000005,24.984460000000013,23.950199999999995,24.374840000000006,26.12692000000004,25.452800000000025,24.329600000000028,24.10226,25.40408000000002,24.92333000000002,23.91094000000004,24.13516000000004,25.37655000000001,24.899040000000014,23.95974000000001,24.18347,25.581380000000024,25.03182000000004,24.023740000000032,26.67416000000003,25.543330000000026,23.843350000000044,22.14208000000002,20.607420000000047,19.95022,19.082760000000007,18.82546000000002,0.58066666,0.600695,0.6418708,0.7336497,898.383,809.7773,526.7396,325.36682,0.65830714,0.6790649,0.6430775,0.60709006,2707.57,8321.41,8321.17,8321.08,-0.0009254899999999733,7942.300000000001,-0.022950000000037107,0.09725000000003092,-0.17221000000000686,-0.014759999999967022,-0.08561000000003105
12,18360000.0,08-01 12:00,27.196000000000026,20.720360000000028,0.5604457,728.76874,0.0,0.0,1.0,1.0,0.65738165,283.15,283.15,281.856,284.52155,0.0,1.718406e-16,0.0,294.15,11.997770000000003,0.00080165797,0.0,0.00045101834,0.0,9.5079944e-05,0.0,9.029022e-05,0.0,9.507994e-05,0.0,7.0225724e-05,303.15,285.15,25.685500000000047,26.569020000000023,26.33865000000003,25.90676000000002,25.945280000000025,26.08904000000001,0.0,0.0,0.0,-4.700479e-08,0.0,11422.1,1.0,23.99550000000005,24.71395000000001,24.291380000000004,24.21627000000001,24.29086000000001,0.9246242,285.15,23.9529,23.975850000000037,25.33570000000003,24.899500000000046,24.426500000000033,24.329250000000002,25.66375000000005,24.984460000000013,24.20263,24.374840000000006,26.12692000000004,25.452800000000025,24.087500000000034,24.10226,25.40408000000002,24.92333000000002,24.04955000000001,24.13516000000004,25.37655000000001,24.899040000000014,24.143820000000005,24.18347,25.581380000000024,25.03182000000004,27.191400000000044,26.67416000000003,25.543330000000026,23.843350000000044,20.720150000000046,20.607420000000047,19.95022,19.082760000000007,0.5606667,0.58066666,0.600695,0.6418708,919.21936,898.383,809.7773,526.7396,0.65738165,0.65830714,0.6790649,0.6430775,10649.87,2707.57,8321.41,8321.17,0.0,-10649.87,1.7326000000000477,2.1425199999999904,2.1360200000000304,1.8192599999999857,1.8957300000000146
13,18363600.0,08-01 13:00,27.79086000000001,20.71610000000004,0.53064233,593.0758,2.0,2.0,1.0,4.0,0.65738165,280.95,280.95,280.65598,284.28165,3.9682539,3.8685083,107757.375,285.15,11.728600000000029,2.0128722,0.9246242,0.93055785,0.41361707,0.33108777,0.28442538,0.2845721,0.26223794,0.26267937,0.20451134,0.20455745,297.15,293.15,23.99550000000005,24.71395000000001,24.291380000000004,24.21627000000001,24.29086000000001,24.301600000000008,8656.3,1506.923,830.9659,427.91592,11422.1,3111.85,1.0,23.961150000000032,24.706540000000018,24.175440000000037,24.157830000000047,24.426800000000014,0.952347,285.15,25.685500000000047,23.9529,23.975850000000037,25.33570000000003,26.569020000000023,24.426500000000033,24.329250000000002,25.66375000000005,26.33865000000003,24.20263,24.374840000000006,26.12692000000004,25.90676000000002,24.087500000000034,24.10226,25.40408000000002,25.945280000000025,24.04955000000001,24.13516000000004,25.37655000000001,26.08904000000001,24.143820000000005,24.18347,25.581380000000024,27.196000000000026,27.191400000000044,26.67416000000003,25.543330000000026,20.720360000000028,20.720150000000046,20.607420000000047,19.95022,0.5604457,0.5606667,0.58066666,0.600695,728.76874,919.21936,898.383,809.7773,0.65738165,0.65738165,0.65830714,0.6790649,0.0,10649.87,2707.57,8321.41,0.0,11422.1,-1.6899999999999977,-1.855070000000012,-2.047270000000026,-1.6904900000000112,-1.654420000000016
