,time,TOut.y,weaBus.TWetBul,weaBus.relHum,weaBus.HGloHor,uMod,uModActual.y,occSch.occupied,modCon.y,iceTan.SOC,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,priPum.m_flow,secPum.m_flow,senRelPre.p_rel,conAHU.TSupSet,conAHU.TSup,senSupFlo.V_flow,conVAVCor.damVal.VDisSet_flow,VSupCor_flow.V_flow,conVAVSou.damVal.VDisSet_flow,VSupSou_flow.V_flow,conVAVEas.damVal.VDisSet_flow,VSupEas_flow.V_flow,conVAVNor.damVal.VDisSet_flow,VSupNor_flow.V_flow,conVAVWes.damVal.VDisSet_flow,VSupWes_flow.V_flow,conAHU.TZonCooSet,conAHU.TZonHeaSet,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,ave.y,chi.P,priPum.P,secPum.P,fanSup.P,Tz_core_pred,Tz_east_pred,Tz_north_pred,Tz_south_pred,Tz_west_pred,Ptot_meas,P_pred,SOC_pred,Elec_rate
20995560.0,20995560.0,289.31,288.2614066182387,0.8976649999999999,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1347979345757,0.000815692519847157,0.0,0.00045889357826095684,0.0,9.674014103313231e-05,0.0,9.186677797618872e-05,0.0,9.67401410331816e-05,0.0,7.145193842589976e-05,303.15,285.15,297.04371228681117,296.5373045935073,296.70203691754347,296.6877686315069,296.7018700445737,296.7345384947885,0.0,0.0,0.0,-4.865955471458498e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995596.0,20995596.0,289.296,288.24451407967126,0.897347515,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1348406212975,0.0008155275705791795,0.0,0.0004588007814676616,0.0,9.672057838226576e-05,0.0,9.184820080969344e-05,0.0,9.672057838227089e-05,0.0,7.143748951864795e-05,303.15,285.15,297.0320316239426,296.5316098555791,296.70189308476535,296.68579737779277,296.7016818360306,296.7306027556221,0.0,0.0,0.0,-4.863987664214034e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995632.0,20995632.0,289.282,288.2274808424378,0.8970163200000001,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1348831756936,0.0008153713267933465,0.0,0.0004587128822101886,0.0,9.670204818929058e-05,0.0,9.183060409021744e-05,0.0,9.670204818928353e-05,0.0,7.142380318127486e-05,303.15,285.15,297.0216087754505,296.5284339494981,296.7032425149717,296.68588711026445,296.7029922852107,296.7284329270791,0.0,0.0,0.0,-4.862124077844163e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995668.0,20995668.0,289.268,288.2103111002788,0.896671805,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13492558328153,0.0008152437504930553,0.0,0.00045864111074397164,0.0,9.66869179236148e-05,0.0,9.18162360239263e-05,0.0,9.668691792359018e-05,0.0,7.141262801860602e-05,303.15,285.15,297.0125266470185,296.52737170377236,296.7057896901282,296.6877105554219,296.7055073025269,296.7277811797736,0.0,0.0,0.0,-4.860602684213292e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995704.0,20995704.0,289.25399999999996,288.19300904038755,0.89631436,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13496781402796,0.0008151306701052872,0.0,0.00045857749440266095,0.0,9.667350685375143e-05,0.0,9.180350054759398e-05,0.0,9.667350685374376e-05,0.0,7.140272264812762e-05,303.15,285.15,297.00494781131556,296.5281958979887,296.7093609378948,296.691084100188,296.709055077833,296.728528765044,0.0,0.0,0.0,-4.859254357825281e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995740.0,20995740.0,289.23999999999995,288.1755788436066,0.895944375,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13500989468355,0.0008150105858749417,0.0,0.0004585099378215925,0.0,9.665926513520632e-05,0.0,9.178997626717509e-05,0.0,9.66592651352065e-05,0.0,7.13922037633584e-05,303.15,285.15,296.99853651154143,296.5302158792494,296.71356184835446,296.6954411059683,296.713239944792,296.73019905798117,0.0,0.0,0.0,-4.8578227257002227e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995776.0,20995776.0,289.226,288.1580246846164,0.8955622400000001,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1350518297075,0.0008148863811836834,0.0,0.00045844006313843,0.0,9.664453473359535e-05,0.0,9.177598792149206e-05,0.0,9.664453473359697e-05,0.0,7.138132393893847e-05,303.15,285.15,296.9931206741191,296.5329889093136,296.7181290378096,296.70041169655144,296.7177985883935,296.73248978123746,0.0,0.0,0.0,-4.856342192117085e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995812.0,20995812.0,289.212,288.1403507321175,0.8951683450000001,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1350935897834,0.0008147572449464948,0.0,0.00045836741405033536,0.0,9.662921945493186e-05,0.0,9.176144416241069e-05,0.0,9.662921945493298e-05,0.0,7.137001212631975e-05,303.15,285.15,296.9887630005093,296.53641394602295,296.7229922668833,296.7059025969271,296.722662015936,296.73534676525577,0.0,0.0,0.0,-4.854803113635213e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995848.0,20995848.0,289.198,288.1225611490067,0.89476308,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13513513992655,0.000814622433731781,0.0,0.0004582915723147902,0.0,9.661323112879281e-05,0.0,9.174626126116632e-05,0.0,9.66132311287929e-05,0.0,7.135820320312938e-05,303.15,285.15,296.98547303847874,296.5403552555382,296.72806896111484,296.7117851835104,296.72774834387883,296.7386861565042,0.0,0.0,0.0,-4.8531966600184613e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995884.0,20995884.0,289.18399999999997,288.10466009254543,0.8943468350000001,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1351765604986,0.0008144835084232973,0.0,0.0004582134160598361,0.0,9.659675487485294e-05,0.0,9.173061501188019e-05,0.0,9.659675487485287e-05,0.0,7.134603389812899e-05,303.15,285.15,296.9827635836432,296.54450570009055,296.7332158527558,296.7178139455529,296.7329104530085,296.7422419070102,0.0,0.0,0.0,-4.851541459969453e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
