case,Energy_kWh,Cost_$,PeakPower_kW,UDH_avg_C_h,UDH_sum_C_h,OccFracViolation_avg,MaxOccViolation_C,CostSaving_%,EnergySaving_%
Baseline_RBC,262.1733093261719,37.41969287187748,21.193981170654297,0.0,0.0,0.0,0.0,0.0,0.0
MPC_PH20,151.052151691225,26.107420108021063,21.564820134198154,0.0,0.0,0.0,0.0,30.230800671156977,42.38461875487874
