,occSch.occupied,modCon.y,senSupFlo.V_flow,TSup.T,conAHU.TSupSet,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,iceTan.SOC,TOut.y,weaBus.TWetBul,chi.on,iceTan.stoCon.y,chi.P,priPum.P,secPum.P,fanSup.P,heaCoi.hA.r_nominal
18576000.0,0.0,1.0,0.0,293.15,294.15,283.15,283.15,293.15,293.15,297.15,297.15,297.15,297.15,297.15,0.5,299.25,297.26176070045767,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666
18576060.0,0.0,1.0,0.005009668455219337,293.15000241688534,294.15,283.15,283.15,293.15,293.15,297.15466659483735,297.03389406771754,297.0175982994014,297.0200551826937,297.0155834749065,0.5,299.2569238916947,297.26505972008914,0.0,1.0,0.0,0.0,0.0,-1.835410759027205e-06,0.6666666666666666
18576120.0,0.0,1.0,0.005089371824243725,293.15252357997167,294.15,283.15,283.15,293.15,293.15,297.1516534962632,296.95291151363415,296.92982269803866,296.9283475537033,296.92658716928804,0.5,299.2635561167228,297.26830202169646,0.0,1.0,0.0,0.0,0.0,-1.8942780130179999e-06,0.6666666666666666
18576180.0,0.0,1.0,0.0008983950424798864,293.1981684883178,294.15,283.15,283.15,293.15,293.15,297.14275813039524,296.90505778893953,296.8823935482639,296.87333229100255,296.87798618110884,0.5,299.2698996212121,297.271484920265,0.0,1.0,0.0,0.0,0.0,-5.902688030468591e-08,0.6666666666666666
18576240.0,0.0,1.0,0.0008046842474911444,293.19795317355255,294.15,283.15,283.15,293.15,293.15,297.13191601285916,296.884090717589,296.8652269377634,296.8479945624939,296.8597775691566,0.5,299.2759573512907,297.2746057103476,0.0,1.0,0.0,0.0,0.0,-4.7355031608245693e-08,0.6666666666666666
18576300.0,0.0,1.0,0.0008149966732948458,293.1977454939341,294.15,283.15,283.15,293.15,293.15,297.12180713273807,296.88128250842465,296.86604718076154,296.8424016922881,296.859852669133,0.5,299.2817322530864,297.2776616670188,0.0,1.0,0.0,0.0,0.0,-4.8576565014712e-08,0.6666666666666666
18576360.0,0.0,1.0,0.0008145004487691759,293.19753813192955,294.15,283.15,283.15,293.15,293.15,297.11391932281674,296.8896381845451,296.8768261272381,296.84890933613696,296.8701247443069,0.5,299.28722727272725,297.2806500468119,0.0,1.0,0.0,0.0,0.0,-4.8517429391268134e-08,0.6666666666666666
18576420.0,0.0,1.0,0.0008141917042051376,293.19733183849337,294.15,283.15,283.15,293.15,293.15,297.10873079748785,296.90456329371057,296.89294695821707,296.862640618209,296.88591077995625,0.5,299.29244535634115,297.28356808864,0.0,1.0,0.0,0.0,0.0,-4.848065400328253e-08,0.6666666666666666
18576480.0,0.0,1.0,0.0008138483387550536,293.1971265360249,294.15,283.15,283.15,293.15,293.15,297.10595908822415,296.92276844229286,296.9115482444452,296.88016880692356,296.90428143307014,0.5,299.2973894500561,297.2864130146982,0.0,1.0,0.0,0.0,0.0,-4.8439771221394843e-08,0.6666666666666666
18576540.0,0.0,1.0,0.0008134753085453686,293.19692243459923,294.15,283.15,283.15,293.15,293.15,297.10577518396013,296.94302263835453,296.93162015204774,296.90033180463377,296.9242031459803,0.5,299.3020625,297.28918203134964,0.0,1.0,0.0,0.0,0.0,-4.8395375962842066e-08,0.6666666666666666
18576600.0,0.0,1.0,0.0008130750154557583,293.196719346114,294.15,283.15,283.15,293.15,293.15,297.1073164321957,296.9636085997113,296.9518993678845,296.92129600437437,296.944355109257,0.5,299.30646745230075,297.2918723299926,0.0,1.0,0.0,0.0,0.0,-4.834775872938032e-08,0.6666666666666666
18576660.0,0.0,1.0,0.0008126487992833544,293.1965175874242,294.15,283.15,283.15,293.15,293.15,297.11066811015115,296.9844840301964,296.97171371421456,296.9423725128217,296.964069616611,0.5,299.3106072530864,297.2944810879104,0.0,1.0,0.0,0.0,0.0,-4.82970835645314e-08,0.6666666666666666
18576720.0,0.0,1.0,0.0008122024877382025,293.1963167878786,294.15,283.15,283.15,293.15,293.15,297.1149447791902,297.0062500648601,296.9905713678094,296.96283129469674,296.98286934536736,0.5,299.3144848484848,297.2970054691025,0.0,1.0,0.0,0.0,0.0,-4.824404763816141e-08,0.6666666666666666
18576780.0,0.0,1.0,0.0008117370206385001,293.19611717155084,294.15,283.15,283.15,293.15,293.15,297.1198449228249,297.029841758016,297.0082436768881,296.98234174976477,297.0005085975223,0.5,299.318103184624,297.2994426250973,0.0,1.0,0.0,0.0,0.0,-4.818876647179543e-08,0.6666666666666666
18576840.0,0.0,1.0,0.0008112572867411371,293.19591876019376,294.15,283.15,283.15,293.15,293.15,297.12516851308357,297.0544267983393,297.0248939123814,297.0008951459053,297.0171093472875,0.5,299.32146520763183,297.30178969574655,0.0,1.0,0.0,0.0,0.0,-4.8131824078929436e-08,0.6666666666666666
18576900.0,0.0,1.0,0.0008107674708397868,293.19572189792405,294.15,283.15,283.15,293.15,293.15,297.1309015334836,297.0791670306534,297.04047943738937,297.01834121426225,297.03280593781227,0.5,299.3245738636363,297.3040438100007,0.0,1.0,0.0,0.0,0.0,-4.80737197327034e-08,0.6666666666666666
18576960.0,0.0,1.0,0.000810272796900282,293.19552641305546,294.15,283.15,283.15,293.15,293.15,297.13691572654096,297.103452449025,297.0553192945897,297.03495729345815,297.0482317483538,0.5,299.3274320987654,297.30620208666534,0.0,1.0,0.0,0.0,0.0,-4.801507472393609e-08,0.6666666666666666
18577020.0,0.0,1.0,0.0008097769227714424,293.19533201454936,294.15,283.15,283.15,293.15,293.15,297.14312765852304,297.12727070286763,297.0696647365115,297.0510114572474,297.06344168219186,0.5,299.330042859147,297.30826163513836,0.0,1.0,0.0,0.0,0.0,-4.795632335562326e-08,0.6666666666666666
18577080.0,0.0,1.0,0.0008092852722506488,293.19513885041783,294.15,283.15,283.15,293.15,293.15,297.1499701715435,297.149978193321,297.08262351393034,297.06560986476734,297.0777412146901,0.5,299.3324090909091,297.31021955612863,0.0,1.0,0.0,0.0,0.0,-4.789810791341597e-08,0.6666666666666666
18577140.0,0.0,1.0,0.0008088038648966054,293.19494753135865,294.15,283.15,283.15,293.15,293.15,297.1584253465379,297.17064555893097,297.09185264575774,297.0764545375302,297.08989512905515,0.5,299.33453374017955,297.3120729423538,0.0,1.0,0.0,0.0,0.0,-4.784113960885293e-08,0.6666666666666666
18577200.0,0.0,1.0,0.0008083321156110953,293.1947574016315,294.15,283.15,283.15,293.15,293.15,297.16668571215786,297.18981883501397,297.1014601807752,297.08738157394384,297.1025237224181,0.5,299.3364197530864,297.3138188792204,0.0,1.0,0.0,0.0,0.0,-4.7785347098488646e-08,0.6666666666666666
18577260.0,0.0,1.0,0.0008078810393289024,293.1945689975253,294.15,283.15,283.15,293.15,293.15,297.1746134731511,297.20682838472203,297.1113270398559,297.0982491774931,297.1155361385458,0.5,299.33807007575757,297.3154544454827,0.0,1.0,0.0,0.0,0.0,-4.773202997384059e-08,0.6666666666666666
18577320.0,0.0,1.0,0.0008074465280332237,293.1943818683981,294.15,283.15,283.15,293.15,293.15,297.18227033916514,297.2222854794768,297.1211751068897,297.10896579079434,297.1285549003472,0.5,299.339487654321,297.3169767138831,0.0,1.0,0.0,0.0,0.0,-4.7680698970732764e-08,0.6666666666666666
18577380.0,0.0,1.0,0.0008070370806158856,293.1941963775881,294.15,283.15,283.15,293.15,293.15,297.1895672857262,297.2358642277382,297.13080815060096,297.1193841158067,297.1414372739888,0.5,299.3406754349046,297.3183827517714,0.0,1.0,0.0,0.0,0.0,-4.7632354162985464e-08,0.6666666666666666
18577440.0,0.0,1.0,0.0008066513488902309,293.1940121691229,294.15,283.15,283.15,293.15,293.15,297.1965681009754,297.24809018939567,297.1402257710768,297.1294513488683,297.154292537008,0.5,299.3416363636363,297.31966962170577,0.0,1.0,0.0,0.0,0.0,-4.7586831978027456e-08,0.6666666666666666
18577500.0,0.0,1.0,0.0008062955459242116,293.19382985722314,294.15,283.15,283.15,293.15,293.15,297.2031065607734,297.25863574724576,297.1493382927724,297.1389646171728,297.16726810334404,0.5,299.3423733866442,297.32083438203216,0.0,1.0,0.0,0.0,0.0,-4.754486113661436e-08,0.6666666666666666
18577560.0,0.0,1.0,0.0008059671797402781,293.1936491055226,294.15,283.15,283.15,293.15,293.15,297.2092736696693,297.2680897379595,297.1581396582367,297.1480473680623,297.18018447354325,0.5,299.3428894500561,297.3218740874444,0.0,1.0,0.0,0.0,0.0,-4.750614319345609e-08,0.6666666666666666
18577620.0,0.0,1.0,0.0008056671141711924,293.19346998053277,294.15,283.15,283.15,293.15,293.15,297.2150707865899,297.27657145281216,297.1665872944665,297.1566703701173,297.1928651971436,0.5,299.3431875,297.32278578952474,0.0,1.0,0.0,0.0,0.0,-4.747077599152139e-08,0.6666666666666666
18577680.0,0.0,1.0,0.0008053946144190078,293.19329221502784,294.15,283.15,283.15,293.15,293.15,297.22057283075475,297.2843445175435,297.17472159446976,297.1649176408142,297.2052080987719,0.5,299.34327048260377,297.3235665372624,0.0,1.0,0.0,0.0,0.0,-4.74386692424043e-08,0.6666666666666666
