,occSch.occupied,modCon.y,senSupFlo.V_flow,TSup.T,conAHU.TSupSet,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,iceTan.SOC,TOut.y,weaBus.TWetBul,chi.on,iceTan.stoCon.y,chi.P,priPum.P,secPum.P,fanSup.P
18576000.0,0.0,1.0,0.0,293.15,294.15,283.15,283.15,293.15,293.15,297.15,297.15,297.15,297.15,297.15,0.5,299.25,297.26176070045767,0.0,1.0,0.0,0.0,0.0,0.0
18576007.2,0.0,1.0,0.0050404500395911335,293.1500036896481,294.15,283.15,283.15,293.15,293.15,297.15078085615227,297.134167877163,297.13204210958355,297.1325189621314,297.1314536374143,0.5,299.25084636448474,297.262159489188,0.0,1.0,0.0,0.0,0.0,-1.8580352435290677e-06
18576014.4,0.0,1.0,0.005036654785674766,293.15000351100576,294.15,283.15,283.15,293.15,293.15,297.1515859388561,297.1188043152733,297.11454427235594,297.1155203441814,297.1136202070748,0.5,299.2516884916362,297.2625574949751,0.0,1.0,0.0,0.0,0.0,-1.855238238041184e-06
18576021.599999998,0.0,1.0,0.005032637578057116,293.15000333386405,294.15,283.15,283.15,293.15,293.15,297.1523342319592,297.1039568232584,297.0975501402315,297.0989932688252,297.0963890960662,0.5,299.2525263865452,297.26295471322834,0.0,1.0,0.0,0.0,0.0,-1.8522799542379944e-06
18576028.8,0.0,1.0,0.005028621724262744,293.1500031582736,294.15,283.15,283.15,293.15,293.15,297.1530039369214,297.0896628849855,297.0811256857059,297.0829739485813,297.07977651109366,0.5,299.2533600543031,297.26335113935244,0.0,1.0,0.0,0.0,0.0,-1.849325026628474e-06
18576036.0,0.0,1.0,0.0050244070632889,293.1500029842901,294.15,283.15,283.15,293.15,293.15,297.1535778036251,297.0759092264672,297.0653339667826,297.0674993320783,297.06381922478226,0.5,299.2541895,297.26374676874724,0.0,1.0,0.0,0.0,0.0,-1.8462263510767249e-06
18576043.2,0.0,1.0,0.005020105920190324,293.15000281197496,294.15,283.15,283.15,293.15,293.15,297.1540431357358,297.0626890549522,297.0502112218142,297.05259141472925,297.04854176628,0.5,299.2550147287272,297.2641415968085,0.0,1.0,0.0,0.0,0.0,-1.843066771636504e-06
18576050.4,0.0,1.0,0.005015709766939131,293.1500026414089,294.15,283.15,283.15,293.15,293.15,297.1543916076254,297.04999866565163,297.03577421663886,297.03826067357033,297.0339554263137,0.5,299.25583574557555,297.2645356189271,0.0,1.0,0.0,0.0,0.0,-1.839840195100164e-06
18576057.599999998,0.0,1.0,0.005011197803690774,293.1500024726926,294.15,283.15,283.15,293.15,293.15,297.1546184306282,297.0378334861739,297.0220275796076,297.02451008429335,297.0200616559834,0.5,299.2566525556361,297.26492883048974,0.0,1.0,0.0,0.0,0.0,-1.836531559043742e-06
18576064.8,0.0,1.0,0.00500657224991096,293.15000230594995,294.15,283.15,283.15,293.15,293.15,297.154721705631,297.0261868857212,297.00896714842014,297.0113370617437,297.00685448072613,0.5,299.25746516400005,297.2653212268786,0.0,1.0,0.0,0.0,0.0,-1.8331427180545405e-06
18576072.0,0.0,1.0,0.005001833575843384,293.15000214133113,294.15,283.15,283.15,293.15,293.15,297.15470183763546,297.0150500800689,296.9965822009018,296.99873476262087,296.9943222398787,0.5,299.2582735757575,297.26571280347093,0.0,1.0,0.0,0.0,0.0,-1.829674246717285e-06
18576079.2,0.0,1.0,0.004996980686518483,293.1500019790163,294.15,283.15,283.15,293.15,293.15,297.1545609870362,297.00441241486106,296.9848572062577,296.9866931261221,296.98244904400116,0.5,299.2590777959999,297.26610355564026,0.0,1.0,0.0,0.0,0.0,-1.8261255799432075e-06
18576086.4,0.0,1.0,0.004992012973113945,293.1500018192115,294.15,283.15,283.15,293.15,293.15,297.15430238858215,296.99426196876533,296.9737737734642,296.97520011033936,296.97121645580614,0.5,299.259877829818,297.26649347875525,0.0,1.0,0.0,0.0,0.0,-1.8224965164075941e-06
18576093.599999998,0.0,1.0,0.00498692690308122,293.1500016628376,294.15,283.15,283.15,293.15,293.15,297.15393049900297,296.9845859497512,296.9633096016803,296.96424100684607,296.96060333525213,0.5,299.26067368230275,297.26688256818034,0.0,1.0,0.0,0.0,0.0,-1.8187847297095104e-06
18576100.8,0.0,1.0,0.004953718989060871,293.15000151173973,294.15,283.15,283.15,293.15,293.15,297.1534493421495,296.9753715300607,296.9534423416533,296.95380111192816,296.9505885593298,0.5,299.26146535854554,297.26727081927595,0.0,1.0,0.0,0.0,0.0,-1.7946428241738673e-06
18576108.0,0.0,1.0,0.004436875235080912,293.1500013825713,294.15,283.15,283.15,293.15,293.15,297.1528611795341,296.9665999968684,296.94413550678456,296.94385649743714,296.9411399429112,0.5,299.2622528636363,297.26765822739725,0.0,1.0,0.0,0.0,0.0,-1.4396925182631868e-06
18576115.2,0.0,1.0,0.003418654896760093,293.15042982913695,294.15,283.15,283.15,293.15,293.15,297.1521690219443,296.9582534130699,296.93536459477264,296.93439034503143,296.93223183964386,0.5,299.26303620266657,297.2680447878961,0.0,1.0,0.0,0.0,0.0,-8.54723968600475e-07
18576122.4,0.0,1.0,0.005668983838625056,293.15252517177413,294.15,283.15,283.15,293.15,293.15,297.1513819608421,296.9503399876872,296.92718295169556,296.92543774819796,296.9238955547942,0.5,299.26381538072707,297.2684304961195,0.0,1.0,0.0,0.0,0.0,-2.350313332714259e-06
18576129.599999998,0.0,1.0,0.003963113659918814,293.15251782479413,294.15,283.15,283.15,293.15,293.15,297.1505061980538,296.94305688182254,296.91975655006246,296.91717208504315,296.91631705953563,0.5,299.2645904029088,297.26881534741057,0.0,1.0,0.0,0.0,0.0,-1.1486515597202432e-06
18576136.8,0.0,1.0,0.002847103520666926,293.1525125917569,294.15,283.15,283.15,293.15,293.15,297.1495621486748,296.9363065097793,296.91295936665585,296.90948836139603,296.9093671666957,0.5,299.2653612743031,297.2691993371081,0.0,1.0,0.0,0.0,0.0,-5.928184752975661e-07
18576144.0,0.0,1.0,0.002088154543418955,293.15250861531194,294.15,283.15,283.15,293.15,293.15,297.14856137909874,296.9300144084211,296.9067024885665,296.9023073477138,296.90295741603313,0.5,299.266128,297.2695824605462,0.0,1.0,0.0,0.0,0.0,-3.1888967847446785e-07
18576151.2,0.0,1.0,0.0015764745713822323,293.1525054925743,294.15,283.15,283.15,293.15,293.15,297.14750454471886,296.92420022708694,296.90099888424703,296.8956498332224,296.89710241349303,0.5,299.26689058509083,297.2699647130554,0.0,1.0,0.0,0.0,0.0,-1.8175614791432819e-07
18576158.4,0.0,1.0,0.0012210985584902056,293.15250291985063,294.15,283.15,283.15,293.15,293.15,297.1463999969118,296.91883508711135,296.8958080115588,296.8894844854874,296.89176234051905,0.5,299.2676490346665,297.2703460899619,0.0,1.0,0.0,0.0,0.0,-1.0904772124442973e-07
18576165.599999998,0.0,1.0,0.0009849800820575549,293.1525007743144,294.15,283.15,283.15,293.15,293.15,297.14525094327587,296.91390950131665,296.8911159978384,296.8838010753105,296.8869236223119,0.5,299.2684033538179,297.27072658658767,0.0,1.0,0.0,0.0,0.0,-7.09528829492599e-08
18576172.8,0.0,1.0,0.0008748159703145662,293.1524990625787,294.15,283.15,283.15,293.15,293.15,297.14405873725786,296.90941653645984,296.8869130691565,296.8785914900031,296.8825766576174,0.5,299.2691535476364,297.27110619825083,0.0,1.0,0.0,0.0,0.0,-5.596912934952319e-08
18576180.0,0.0,1.0,0.0007839473224675998,293.15249736928513,294.15,283.15,283.15,293.15,293.15,297.14283919343444,296.9053003426949,296.88311747920835,296.8737930215373,296.87864147840133,0.5,299.2698996212121,297.271484920265,0.0,1.0,0.0,0.0,0.0,-4.4945778110538e-08
18576187.2,0.0,1.0,0.0007634672842524188,293.152495893404,294.15,283.15,283.15,293.15,293.15,297.1415847363191,296.90158766071215,296.87976838311823,296.8694357062042,296.87515638807645,0.5,299.2706415796363,297.2718627479399,0.0,1.0,0.0,0.0,0.0,-4.262810251849066e-08
18576194.4,0.0,1.0,0.0007472870237166487,293.1524944518512,294.15,283.15,283.15,293.15,293.15,297.1403140025176,296.89821786960135,296.8767871451996,296.8654541602151,296.87204286337675,0.5,299.2713794279998,297.27223967658136,0.0,1.0,0.0,0.0,0.0,-4.084040297577454e-08
18576201.599999998,0.0,1.0,0.0007491598403801601,293.15249308272723,294.15,283.15,283.15,293.15,293.15,297.13902311383356,296.89520357544603,296.87419012708904,296.8618619880983,296.86931724261393,0.5,299.2721131713937,297.2726157014912,0.0,1.0,0.0,0.0,0.0,-4.104536415037896e-08
18576208.8,0.0,1.0,0.0007614800791894007,293.1524917604832,294.15,283.15,283.15,293.15,293.15,297.137719132547,296.8925194386543,296.8719433112331,296.8586309130581,296.86694579038044,0.5,299.27284281490915,297.2729908179672,0.0,1.0,0.0,0.0,0.0,-4.2406480393702896e-08
18576216.0,0.0,1.0,0.0007699969654567662,293.1524904410302,294.15,283.15,283.15,293.15,293.15,297.136411139107,296.8901334873084,296.87000404118413,296.8557254753851,296.8648861515532,0.5,299.27356836363634,297.27336502130277,0.0,1.0,0.0,0.0,0.0,-4.336038830860528e-08
18576223.2,0.0,1.0,0.0007827513702206862,293.1524891482717,294.15,283.15,283.15,293.15,293.15,297.1350950943009,296.8880598622013,296.8683916804307,296.8531614706319,296.86315748539886,0.5,299.27428982266656,297.27373830678795,0.0,1.0,0.0,0.0,0.0,-4.480874787202299e-08
18576230.4,0.0,1.0,0.0007909237107959396,293.1524878455327,294.15,283.15,283.15,293.15,293.15,297.1337870760596,296.88624126347565,296.86703447250943,296.85087634418204,296.86168789156665,0.5,299.27500719709076,297.2741106697087,0.0,1.0,0.0,0.0,0.0,-4.574928653714276e-08
18576237.599999998,0.0,1.0,0.0007983758271126036,293.1524865488721,294.15,283.15,283.15,293.15,293.15,297.13248004440015,296.8847027729862,296.86596383535357,296.84889748507123,296.86050885101855,0.5,299.2757204919998,297.27448210534686,0.0,1.0,0.0,0.0,0.0,-4.661545131780287e-08
18576244.8,0.0,1.0,0.0008039770149519402,293.1524852576468,294.15,283.15,283.15,293.15,293.15,297.13118137910203,296.88349647085374,296.86522618878735,296.8472802931591,296.85966796819645,0.5,299.2764297124849,297.2748526089809,0.0,1.0,0.0,0.0,0.0,-4.7271828416173624e-08
18576252.0,0.0,1.0,0.0008075653982846524,293.152483963913,294.15,283.15,283.15,293.15,293.15,297.12989961402667,296.88257456718685,296.86476590588296,296.84597121683225,296.8591091815955,0.5,299.2771348636363,297.27522217588455,0.0,1.0,0.0,0.0,0.0,-4.769474594468525e-08
18576259.2,0.0,1.0,0.0008099707048579383,293.1524826673878,294.15,283.15,283.15,293.15,293.15,297.12864143828597,296.8819056308323,296.8645464700055,296.844936033262,296.85879572729937,0.5,299.27783595054535,297.2755908013286,0.0,1.0,0.0,0.0,0.0,-4.797928344942329e-08
18576266.4,0.0,1.0,0.0008116440014104082,293.1524813694903,294.15,283.15,283.15,293.15,293.15,297.1274062848852,296.8814479850476,296.864526044888,296.84412958749647,296.85868514458565,0.5,299.27853297830285,297.27595848057956,0.0,1.0,0.0,0.0,0.0,-4.817772639513561e-08
18576273.599999998,0.0,1.0,0.0008128293831637392,293.1524800706782,294.15,283.15,283.15,293.15,293.15,297.12618647753754,296.8811311723613,296.86463826802253,296.84347560498577,296.8587097836135,0.5,299.27922595199976,297.2763252089004,0.0,1.0,0.0,0.0,0.0,-4.831855338013731e-08
18576280.8,0.0,1.0,0.0008137348583410707,293.15247877212687,294.15,283.15,283.15,293.15,293.15,297.1249955018642,296.88100029819566,296.8649205515849,296.84302301547416,296.85890815475466,0.5,299.27991487672733,297.27669098155036,0.0,1.0,0.0,0.0,0.0,-4.8426265054952144e-08
18576288.0,0.0,1.0,0.0008143009407950863,293.1524774735001,294.15,283.15,283.15,293.15,293.15,297.12382950119957,296.881042459232,296.86536219550356,296.8427578250967,296.8592692438754,0.5,299.2805997575757,297.2770557937843,0.0,1.0,0.0,0.0,0.0,-4.849366484879877e-08
18576295.2,0.0,1.0,0.0008145765553615004,293.15247617497596,294.15,283.15,283.15,293.15,293.15,297.12268935573275,296.8812509785918,296.86595608826724,296.84267284235364,296.85978586226037,0.5,299.28128059963626,297.27741964085425,0.0,1.0,0.0,0.0,0.0,-4.852649744865322e-08
18576302.4,0.0,1.0,0.0008147453956274098,293.1524748777521,294.15,283.15,283.15,293.15,293.15,297.1215918491535,296.88166879502273,296.8667360001035,296.84281471601963,296.8604929236459,0.5,299.2819574079998,297.277782518008,0.0,1.0,0.0,0.0,0.0,-4.8546616028420154e-08
18576309.599999998,0.0,1.0,0.0008147225721616123,293.15247358132,294.15,283.15,283.15,293.15,293.15,297.1205302996282,296.8822765608947,296.86768626642584,296.8431624089135,296.86137427044207,0.5,299.2826301877573,297.2781444204899,0.0,1.0,0.0,0.0,0.0,-4.854389615775711e-08
18576316.8,0.0,1.0,0.0008146960387602078,293.15247228672393,294.15,283.15,283.15,293.15,293.15,297.1195183327986,296.883065984983,296.8687921202067,296.8437074877348,296.8624153747065,0.5,299.283298944,297.2785053435408,0.0,1.0,0.0,0.0,0.0,-4.854073427550295e-08
18576324.0,0.0,1.0,0.0008146677266350625,293.15247099300814,294.15,283.15,283.15,293.15,293.15,297.11853013902254,296.88394249760466,296.86997256737925,296.8443472009295,296.86353307179076,0.5,299.28396368181814,297.27886528239736,0.0,1.0,0.0,0.0,0.0,-4.853736054543843e-08
18576331.2,0.0,1.0,0.000814637635800718,293.15246970017256,294.15,283.15,283.15,293.15,293.15,297.11756571824066,296.88490609725676,296.87122760762156,296.8450815481336,296.86472736137347,0.5,299.28462440630295,297.2792242322931,0.0,1.0,0.0,0.0,0.0,-4.853377499139448e-08
18576338.4,0.0,1.0,0.0008146063273822772,293.15246840874033,294.15,283.15,283.15,293.15,293.15,297.11663878391437,296.8859763628243,296.87257101094315,296.84593254813535,296.8660126586347,0.5,299.2852811225453,297.2795821884579,0.0,1.0,0.0,0.0,0.0,-4.853004449456267e-08
18576345.599999998,0.0,1.0,0.0008145737863583333,293.1524671186975,294.15,283.15,283.15,293.15,293.15,297.11574896907007,296.88715276865656,296.8740024085704,296.8468996114135,296.8673885775423,0.5,299.2859338356361,297.27993914611795,0.0,1.0,0.0,0.0,0.0,-4.852616728195041e-08
18576352.8,0.0,1.0,0.0008145398424466296,293.15246582988516,294.15,283.15,283.15,293.15,293.15,297.1148921117924,296.88842937070194,296.87551762107756,296.8479760550976,296.86885074287386,0.5,299.2865825506667,297.2802951004964,0.0,1.0,0.0,0.0,0.0,-4.852212308378086e-08
18576360.0,0.0,1.0,0.0008145047658643201,293.1524645423874,294.15,283.15,283.15,293.15,293.15,297.1140699149666,296.8898014510474,296.8771117225408,296.8491571026376,296.8703941836831,0.5,299.28722727272725,297.2806500468119,0.0,1.0,0.0,0.0,0.0,-4.85179441132233e-08
18576367.2,0.0,1.0,0.000814468640366996,293.15246325768084,294.15,283.15,283.15,293.15,293.15,297.1133208888151,296.89135987555926,296.8788584875915,296.85054239662685,296.8720949946423,0.5,299.287868006909,297.2810039802805,0.0,1.0,0.0,0.0,0.0,-4.851364036543766e-08
18576374.4,0.0,1.0,0.0008144321612957011,293.1524619742875,294.15,283.15,283.15,293.15,293.15,297.11260409347875,296.8929800006643,296.8806539056711,296.8519964013241,296.87384616439056,0.5,299.2885047583029,297.2813568961145,0.0,1.0,0.0,0.0,0.0,-4.850929468906629e-08
18576381.599999998,0.0,1.0,0.0008143951466862701,293.1524606928805,294.15,283.15,283.15,293.15,293.15,297.111936038125,296.89469339238366,296.8825228582202,296.85355426552195,296.8756734471379,0.5,299.28913753199976,297.2817087895226,0.0,1.0,0.0,0.0,0.0,-4.8504885414286365e-08
18576388.8,0.0,1.0,0.0008143578481245945,293.15245941252664,294.15,283.15,283.15,293.15,293.15,297.11129382675085,296.89645622681974,296.8844307982768,296.8551671971605,296.8775410847505,0.5,299.28976633309094,297.2820596557106,0.0,1.0,0.0,0.0,0.0,-4.8500442517204657e-08
18576396.0,0.0,1.0,0.0008143202656155205,293.152458133226,294.15,283.15,283.15,293.15,293.15,297.1106774592816,296.8982685031399,296.8863777256716,296.85683519602344,296.87944907706316,0.5,299.29039116666667,297.28240948988,0.0,1.0,0.0,0.0,0.0,-4.849596600304578e-08
18576403.2,0.0,1.0,0.0008142822902388245,293.15245685528606,294.15,283.15,283.15,293.15,293.15,297.1100926873166,296.90013316134207,296.8883652942747,296.8585623664483,296.8813992293908,0.5,299.2910120378181,297.28275828722974,0.0,1.0,0.0,0.0,0.0,-4.8491442903774694e-08
18576410.4,0.0,1.0,0.0008142436956051083,293.1524555793463,294.15,283.15,283.15,293.15,293.15,297.1095514681632,296.90205631430473,296.8903969425485,296.8603572413214,296.88339529503946,0.5,299.2916289516362,297.2831060429549,0.0,1.0,0.0,0.0,0.0,-4.848684626357339e-08
18576417.599999998,0.0,1.0,0.000814204664936036,293.1524543048892,294.15,283.15,283.15,293.15,293.15,297.1090441243639,296.90403301305946,296.89246988734624,296.8622129143747,296.8854342360672,0.5,299.2922419132119,297.2834527522477,0.0,1.0,0.0,0.0,0.0,-4.84821979130824e-08
18576424.8,0.0,1.0,0.000814165198231608,293.1524530319148,294.15,283.15,283.15,293.15,293.15,297.1085706558187,296.90606325669245,296.89458412848705,296.8641293853672,296.88751605230027,0.5,299.2928509276364,297.28379841029675,0.0,1.0,0.0,0.0,0.0,-4.8477497859769835e-08
18576432.0,0.0,1.0,0.0008141252953215729,293.15245176047705,294.15,283.15,283.15,293.15,293.15,297.1081314279517,296.90814488212686,296.896737790228,296.8661045802276,296.8896388328137,0.5,299.293456,297.2841430122872,0.0,1.0,0.0,0.0,0.0,-4.847274609091595e-08
18576439.2,0.0,1.0,0.000814084954328654,293.15245049109956,294.15,283.15,283.15,293.15,293.15,297.10772998513187,296.9102569221157,296.8989126851306,296.8681183888546,296.8917840489441,0.5,299.29405713539387,297.2844865534012,0.0,1.0,0.0,0.0,0.0,-4.846794239064684e-08
18576446.4,0.0,1.0,0.0008140441764934753,293.1524492234376,294.15,283.15,283.15,293.15,293.15,297.10736399380045,296.9124131788774,296.9011207863729,296.87018405008536,296.8939638985255,0.5,299.29465433890897,297.2848290288176,0.0,1.0,0.0,0.0,0.0,-4.8463086914421e-08
18576453.599999998,0.0,1.0,0.0008140029617966512,293.15244795749123,294.15,283.15,283.15,293.15,293.15,297.10703345385366,296.9146136516211,296.9033620937996,296.8723015637051,296.89617838141214,0.5,299.2952476156362,297.2851704337121,0.0,1.0,0.0,0.0,0.0,-4.845817966774712e-08
18576460.8,0.0,1.0,0.0008139613102575669,293.1524466932604,294.15,283.15,283.15,293.15,293.15,297.1067383651887,296.9168583395564,296.9056366072562,296.8744709294995,296.8984274974594,0.5,299.2958369706667,297.2855107632572,0.0,1.0,0.0,0.0,0.0,-4.845322066083399e-08
18576468.0,0.0,1.0,0.0008139192444035428,293.1524454314707,294.15,283.15,283.15,293.15,293.15,297.1064735354183,296.9190983150229,296.9079047921669,296.8766432291572,296.90067064955605,0.5,299.2964224090909,297.28585001262184,0.0,1.0,0.0,0.0,0.0,-4.8448212583558286e-08
18576475.2,0.0,1.0,0.0008138767504393964,293.1524441716776,294.15,283.15,283.15,293.15,293.15,297.10624214659293,296.9213635630875,296.91019087755393,296.87884844254285,296.902932717929,0.5,299.2970039359999,297.28618817697213,0.0,1.0,0.0,0.0,0.0,-4.844315380132782e-08
18576482.4,0.0,1.0,0.0008138336890383015,293.15244291492735,294.15,283.15,283.15,293.15,293.15,297.10606779794585,296.923687279248,296.91252014415943,296.8811246037174,296.90524000897904,0.5,299.2975815564847,297.28652525147123,0.0,1.0,0.0,0.0,0.0,-4.843802773704415e-08
18576489.599999998,0.0,1.0,0.0008137902223604913,293.1524416610623,294.15,283.15,283.15,293.15,293.15,297.1059510674506,296.9260778442623,296.91489950332397,296.88347988146825,296.9075996118118,0.5,299.2981552756362,297.2868612312788,0.0,1.0,0.0,0.0,0.0,-4.8432853703525916e-08
18576496.8,0.0,1.0,0.0008137465401526227,293.1524404083668,294.15,283.15,283.15,293.15,293.15,297.1058501888281,296.9284748732557,296.9172832192339,296.885845535903,296.9099639098936,0.5,299.2987250985455,297.2871961115517,0.0,1.0,0.0,0.0,0.0,-4.8427654292993624e-08
18576504.0,0.0,1.0,0.000813702023452238,293.1524391601992,294.15,283.15,283.15,293.15,293.15,297.10581068546804,296.93089700975423,296.91968382413665,296.88825138496054,296.91234640649407,0.5,299.29929103030304,297.2875298874433,0.0,1.0,0.0,0.0,0.0,-4.842235584185089e-08
18576511.2,0.0,1.0,0.00081365723280065,293.15243791351804,294.15,283.15,283.15,293.15,293.15,297.1057913293367,296.9333273686413,296.9220899681594,296.89067042404906,296.9147348723713,0.5,299.2998530759999,297.2878625541044,0.0,1.0,0.0,0.0,0.0,-4.841702507723314e-08
18576518.4,0.0,1.0,0.0008136121682269367,293.1524366683233,294.15,283.15,283.15,293.15,293.15,297.10579212038226,296.9357659496664,296.92450165125337,296.8931026530933,296.9171293074858,0.5,299.30041124072716,297.2881941066825,0.0,1.0,0.0,0.0,0.0,-4.841166200798516e-08
18576525.599999998,0.0,1.0,0.0008135668297165591,293.1524354246149,294.15,283.15,283.15,293.15,293.15,297.10581305855385,296.93821275257835,296.92691887336963,296.89554807201773,296.91952971179813,0.5,299.3009655295756,297.28852454032216,0.0,1.0,0.0,0.0,0.0,-4.840626663779356e-08
18576532.8,0.0,1.0,0.0008135212172549778,293.15243418239294,294.15,283.15,283.15,293.15,293.15,297.10585414380137,296.94066777712646,296.9293416344603,296.89800668074776,296.92193608527,0.5,299.3015159476364,297.2888538501651,0.0,1.0,0.0,0.0,0.0,-4.8400838970378414e-08
