,occSch.occupied,modCon.y,senSupFlo.V_flow,TSup.T,conAHU.TSupSet,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,iceTan.SOC,TOut.y,weaBus.TWetBul,chi.on,iceTan.stoCon.y,chi.P,priPum.P,secPum.P,fanSup.P
18576660.0,0.0,1.0,0.0008126487992833544,293.1965175874242,294.15,283.15,283.15,293.15,293.15,297.11066811015115,296.9844840301964,296.97171371421456,296.9423725128217,296.964069616611,0.5,299.3106072530864,297.2944810879104,0.0,1.0,0.0,0.0,0.0,-4.82970835645314e-08
18576720.0,0.0,1.0,0.0008122024877382025,293.1963167878786,294.15,283.15,283.15,293.15,293.15,297.1149447791902,297.0062500648601,296.9905713678094,296.96283129469674,296.98286934536736,0.5,299.3144848484848,297.2970054691025,0.0,1.0,0.0,0.0,0.0,-4.824404763816141e-08
18576780.0,0.0,1.0,0.0008117370206385001,293.19611717155084,294.15,283.15,283.15,293.15,293.15,297.1198449228249,297.029841758016,297.0082436768881,296.98234174976477,297.0005085975223,0.5,299.318103184624,297.2994426250973,0.0,1.0,0.0,0.0,0.0,-4.818876647179543e-08
18576840.0,0.0,1.0,0.0008112572867411371,293.19591876019376,294.15,283.15,283.15,293.15,293.15,297.12516851308357,297.0544267983393,297.0248939123814,297.0008951459053,297.0171093472875,0.5,299.32146520763183,297.30178969574655,0.0,1.0,0.0,0.0,0.0,-4.8131824078929436e-08
18576900.0,0.0,1.0,0.0008107674708397868,293.19572189792405,294.15,283.15,283.15,293.15,293.15,297.1309015334836,297.0791670306534,297.04047943738937,297.01834121426225,297.03280593781227,0.5,299.3245738636363,297.3040438100007,0.0,1.0,0.0,0.0,0.0,-4.80737197327034e-08
18576960.0,0.0,1.0,0.000810272796900282,293.19552641305546,294.15,283.15,283.15,293.15,293.15,297.13691572654096,297.103452449025,297.0553192945897,297.03495729345815,297.0482317483538,0.5,299.3274320987654,297.30620208666534,0.0,1.0,0.0,0.0,0.0,-4.801507472393609e-08
18577020.0,0.0,1.0,0.0008097769227714424,293.19533201454936,294.15,283.15,283.15,293.15,293.15,297.14312765852304,297.12727070286763,297.0696647365115,297.0510114572474,297.06344168219186,0.5,299.330042859147,297.30826163513836,0.0,1.0,0.0,0.0,0.0,-4.795632335562326e-08
18577080.0,0.0,1.0,0.0008092852722506488,293.19513885041783,294.15,283.15,283.15,293.15,293.15,297.1499701715435,297.149978193321,297.08262351393034,297.06560986476734,297.0777412146901,0.5,299.3324090909091,297.31021955612863,0.0,1.0,0.0,0.0,0.0,-4.789810791341597e-08
18577140.0,0.0,1.0,0.0008088038648966054,293.19494753135865,294.15,283.15,283.15,293.15,293.15,297.1584253465379,297.17064555893097,297.09185264575774,297.0764545375302,297.08989512905515,0.5,299.33453374017955,297.3120729423538,0.0,1.0,0.0,0.0,0.0,-4.784113960885293e-08
18577200.0,0.0,1.0,0.0008083321156110953,293.1947574016315,294.15,283.15,283.15,293.15,293.15,297.16668571215786,297.18981883501397,297.1014601807752,297.08738157394384,297.1025237224181,0.5,299.3364197530864,297.3138188792204,0.0,1.0,0.0,0.0,0.0,-4.7785347098488646e-08
18577260.0,0.0,1.0,0.0008078810393289024,293.1945689975253,294.15,283.15,283.15,293.15,293.15,297.1746134731511,297.20682838472203,297.1113270398559,297.0982491774931,297.1155361385458,0.5,299.33807007575757,297.3154544454827,0.0,1.0,0.0,0.0,0.0,-4.773202997384059e-08
18577320.0,0.0,1.0,0.0008074465280332237,293.1943818683981,294.15,283.15,283.15,293.15,293.15,297.18227033916514,297.2222854794768,297.1211751068897,297.10896579079434,297.1285549003472,0.5,299.339487654321,297.3169767138831,0.0,1.0,0.0,0.0,0.0,-4.7680698970732764e-08
18577380.0,0.0,1.0,0.0008070370806158856,293.1941963775881,294.15,283.15,283.15,293.15,293.15,297.1895672857262,297.2358642277382,297.13080815060096,297.1193841158067,297.1414372739888,0.5,299.3406754349046,297.3183827517714,0.0,1.0,0.0,0.0,0.0,-4.7632354162985464e-08
18577440.0,0.0,1.0,0.0008066513488902309,293.1940121691229,294.15,283.15,283.15,293.15,293.15,297.1965681009754,297.24809018939567,297.1402257710768,297.1294513488683,297.154292537008,0.5,299.3416363636363,297.31966962170577,0.0,1.0,0.0,0.0,0.0,-4.7586831978027456e-08
18577500.0,0.0,1.0,0.0008062955459242116,293.19382985722314,294.15,283.15,283.15,293.15,293.15,297.2031065607734,297.25863574724576,297.1493382927724,297.1389646171728,297.16726810334404,0.5,299.3423733866442,297.32083438203216,0.0,1.0,0.0,0.0,0.0,-4.754486113661436e-08
