,time,formatted_time,tesBed.TOut.y,tesBed.weaBus.TWetBul,tesBed.weaBus.relHum,tesBed.weaBus.HGloHor,tesBed.uMod,tesBed.uModActual.y,tesBed.occSch.occupied,tesBed.modCon.y,tesBed.iceTan.SOC,tesBed.chi.TSet,tesBed.iceTan.TOutSet,tesBed.TCHWSup.T,tesBed.TCHWRetCoi.T,tesBed.priPum.m_flow,tesBed.secPum.m_flow,tesBed.senRelPre.p_rel,tesBed.conAHU.TSupSet,tesBed.conAHU.TSup,tesBed.senSupFlo.V_flow,tesBed.conVAVCor.damVal.VDisSet_flow,tesBed.VSupCor_flow.V_flow,tesBed.conVAVSou.damVal.VDisSet_flow,tesBed.VSupSou_flow.V_flow,tesBed.conVAVEas.damVal.VDisSet_flow,tesBed.VSupEas_flow.V_flow,tesBed.conVAVNor.damVal.VDisSet_flow,tesBed.VSupNor_flow.V_flow,tesBed.conVAVWes.damVal.VDisSet_flow,tesBed.VSupWes_flow.V_flow,tesBed.conAHU.TZonCooSet,tesBed.conAHU.TZonHeaSet,tesBed.conVAVCor.TZon,tesBed.conVAVSou.TZon,tesBed.conVAVEas.TZon,tesBed.conVAVNor.TZon,tesBed.conVAVWes.TZon,tesBed.ave.y,tesBed.chi.P,tesBed.priPum.P,tesBed.secPum.P,tesBed.fanSup.P
0,18316800.0,08-01 00:00,294.45,290.23264,0.66,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,293.15,293.15,3.9682539,0.3945946,6921.519,285.15,293.15,0.0,0.6745,0.0,0.1421925,0.0,0.13502944,0.0,0.1421925,0.0,0.10502289,0.0,297.15,293.15,297.15,297.15,297.15,297.15,297.15,297.15,19135.225,1513.3334,4.8064404,0.0
1,18317100.0,08-01 00:05,294.375,290.29532,0.6696856,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.14966,286.19507,3.9682539,1.4352269,21366.408,285.15,286.17288,0.9100861,0.6745,0.51202744,0.1421925,0.10794138,0.13502944,0.10250375,0.1421925,0.10794138,0.10502289,0.07972514,297.15,293.15,296.76065,296.47195,296.39203,296.46732,296.43115,296.5046,5722.6084,1510.1411,59.963272,39.959938
2,18317400.0,08-01 00:10,294.3,290.41458,0.6837408,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.48938,3.9682539,2.3030457,35703.61,285.15,285.65732,1.202979,0.6745,0.6768819,0.1421925,0.14269464,0.13502944,0.13550629,0.1421925,0.14269464,0.10502289,0.105393775,297.15,293.15,296.33078,296.17084,296.02075,296.16895,296.10657,296.15958,5995.9624,1508.3109,163.10324,102.24395
3,18317700.0,08-01 00:15,294.225,290.57742,0.701281,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.18414,3.9682539,2.7267017,50047.484,285.15,285.40808,1.2073671,0.6745,0.679446,0.1421925,0.14323516,0.13502944,0.13601957,0.1421925,0.14323516,0.10502289,0.10579301,297.15,293.15,296.13724,296.06412,295.87878,296.06393,295.9812,296.02505,6043.151,1507.6923,271.49686,141.58572
4,18318000.0,08-01 00:20,294.15,290.77097,0.72142154,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.10992,3.9682539,3.0099788,60986.51,285.15,285.2481,1.2062321,0.6745,0.6787843,0.1421925,0.14309569,0.13502944,0.13588713,0.1421925,0.14309569,0.10502289,0.10568999,297.15,293.15,296.05872,296.02832,295.82294,296.03094,295.94223,295.97662,6143.6074,1507.3793,365.57538,134.45831
5,18318300.0,08-01 00:25,294.075,290.98282,0.7432778,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.0558,3.9682539,3.2401965,71119.625,285.24,285.19165,1.2056357,0.6745,0.6784361,0.1421925,0.14302228,0.13502944,0.13581742,0.1421925,0.14302228,0.10502289,0.10563577,297.15,293.15,296.01947,295.9999,295.79248,296.0168,295.92557,295.95084,6223.3237,1507.1842,459.14554,129.67351
6,18318600.0,08-01 00:30,294.0,291.20114,0.76596504,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.08026,3.9682539,3.302837,77366.71,285.33,285.19202,1.2053151,0.6745,0.678249,0.1421925,0.14298283,0.13502944,0.13577995,0.1421925,0.14298283,0.10502289,0.10560663,297.15,293.15,295.99564,295.98312,295.7704,296.00677,295.91125,295.93344,6282.8564,1507.1404,509.18848,127.180595
7,18318900.0,08-01 00:35,293.925,291.41464,0.7885987,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.24945,3.9682539,3.0823276,74428.77,285.42,285.303,1.2051558,0.6745,0.67815596,0.1421925,0.14296322,0.13502944,0.13576134,0.1421925,0.14296322,0.10502289,0.10559215,297.15,293.15,295.98157,295.9882,295.7508,295.99966,295.90155,295.92435,6311.97,1507.3123,457.00812,125.86166
8,18319200.0,08-01 00:40,293.85,291.61255,0.8102941,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.46622,3.9682539,2.825483,68187.63,285.51,285.46243,1.205082,0.6745,0.67811286,0.1421925,0.14295414,0.13502944,0.13575271,0.1421925,0.14295414,0.10502289,0.10558544,297.15,293.15,295.97467,295.99173,295.73544,295.99603,295.89667,295.9189,6333.8887,1507.574,383.58798,125.159615
9,18319500.0,08-01 00:45,293.775,291.7846,0.8301666,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.6525,3.9682539,2.641737,59560.44,285.6,285.60162,1.2050147,0.6745,0.6780736,0.1421925,0.14294586,0.13502944,0.13574484,0.1421925,0.14294586,0.10502289,0.105579324,297.15,293.15,295.97162,295.99133,295.7341,295.9935,295.89374,295.91687,6353.881,1507.8019,313.05963,124.78322
10,18319800.0,08-01 00:50,293.7,291.92096,0.8473315,0.0,2.0,2.0,0.0,4.0,0.5,283.15,283.15,283.15,285.76846,3.9682539,2.5563645,55407.637,285.69,285.6894,1.2049843,0.6745,0.6780559,0.1421925,0.14294212,0.13502944,0.1357413,0.1421925,0.14294212,0.10502289,0.10557657,297.15,293.15,295.96918,295.98816,295.74066,295.98257,295.88968,295.91403,6378.808,1507.9193,281.70477,124.58184
